,File_ID,project,path,area,relative_path,filename,ext,lines,Initial Author,Latest Author,Most Frequent Author,Unique Authors,Initial Commit,Latest Commit,Total Commits,Total Inserts,Total Deletes
0,0,.github,,ISSUE_TEMPLATE,.github\ISSUE_TEMPLATE\Annoucement_Template.md,Annoucement_Template.md,.md,42,Maria Naggaga,Maria Naggaga,Maria Naggaga,1,,,1,0,0
1,1,.github,,ISSUE_TEMPLATE,.github\ISSUE_TEMPLATE\bug_report.md,bug_report.md,.md,39,Unknown,Unknown,Unknown,1,,,1,0,0
2,2,.github,,ISSUE_TEMPLATE,.github\ISSUE_TEMPLATE\feature_request.md,feature_request.md,.md,17,Unknown,Unknown,Unknown,1,,,1,0,0
3,3,.github,,ISSUE_TEMPLATE,.github\ISSUE_TEMPLATE\question.md,question.md,.md,20,WhiteBlackGoose,WhiteBlackGoose,WhiteBlackGoose,1,,,1,0,0
4,4,,,Root,build-js.sh,build-js.sh,.sh,16,Brett V. Forsgren,Brett V. Forsgren,Brett V. Forsgren,1,,,1,0,0
5,5,,,Root,build.sh,build.sh,.sh,16,Brett V. Forsgren,Brett V. Forsgren,Brett V. Forsgren,1,,,1,0,0
6,6,,,Root,CODE_OF_CONDUCT.md,CODE_OF_CONDUCT.md,.md,5,Jon Sequeira,Jon Sequeira,Jon Sequeira,1,,,1,0,0
7,7,,,Root,CONTRIBUTING.md,CONTRIBUTING.md,.md,11,Jon Sequeira,WhiteBlackGoose,Jon Sequeira,1,,,1,0,0
8,8,,,Root,DEVELOPER-GUIDE.md,DEVELOPER-GUIDE.md,.md,200,Jon Sequeira,Osvaldo Calles,Brett V. Forsgren,1,,,1,0,0
9,9,docs,,Root,docs\command-line-interface.md,command-line-interface.md,.md,35,Jon Sequeira,Jon Sequeira,Jon Sequeira,1,,,1,0,0
10,10,docs,,Root,docs\display-output-csharp.md,display-output-csharp.md,.md,30,Jon Sequeira,Jon Sequeira,Jon Sequeira,1,,,1,0,0
11,11,docs,,Root,docs\extending-dotnet-interactive.md,extending-dotnet-interactive.md,.md,114,Jon Sequeira,Jon Sequeira,Jon Sequeira,1,,,1,0,0
