,fullpath,root,project,path,area,relative_path,filename,ext,lines
88,C:/Dev/Interactive/samples/./Formatting-outputs.ipynb,C:/Dev/Interactive/,samples,.,notebooks,samples\notebooks\fsharp\Docs\Formatting-outputs.ipynb,Formatting-outputs.ipynb,.ipynb,2314
676,C:/Dev/Interactive/src/./JupyterFormatTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Documents.Tests,src\Microsoft.DotNet.Interactive.Documents.Tests\JupyterFormatTests.cs,JupyterFormatTests.cs,.cs,1651
1105,C:/Dev/Interactive/src/./LanguageKernelTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Tests,src\Microsoft.DotNet.Interactive.Tests\LanguageKernelTests.cs,LanguageKernelTests.cs,.cs,1222
1102,C:/Dev/Interactive/src/./LanguageKernelPackageTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Tests,src\Microsoft.DotNet.Interactive.Tests\LanguageKernelPackageTests.cs,LanguageKernelPackageTests.cs,.cs,1174
806,C:/Dev/Interactive/src/./TipFormatter.fs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.FSharp,src\Microsoft.DotNet.Interactive.FSharp\FsAutoComplete\TipFormatter.fs,TipFormatter.fs,.fs,1160
274,C:/Dev/Interactive/src/./Kernel.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive,src\Microsoft.DotNet.Interactive\Kernel.cs,Kernel.cs,.cs,1017
800,C:/Dev/Interactive/src/./DocumentationFormatter.fs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.FSharp,src\Microsoft.DotNet.Interactive.FSharp\FsAutoComplete\DocumentationFormatter.fs,DocumentationFormatter.fs,.fs,1011
786,C:/Dev/Interactive/src/./HtmlFormatterTests.Sequences.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Formatting.Tests,src\Microsoft.DotNet.Interactive.Formatting.Tests\HtmlFormatterTests.Sequences.cs,HtmlFormatterTests.Sequences.cs,.cs,920
608,C:/Dev/Interactive/src/./RoslynWorkspaceServerConsoleProjectTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject.Tests,src\Microsoft.DotNet.Interactive.CSharpProject.Tests\RoslynWorkspaceServerConsoleProjectTests.cs,RoslynWorkspaceServerConsoleProjectTests.cs,.cs,897
355,C:/Dev/Interactive/src/./PathUtilities.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive,src\Microsoft.DotNet.Interactive\Utility\PathUtilities.cs,PathUtilities.cs,.cs,876
86,C:/Dev/Interactive/samples/./interactive-metrics.ipynb,C:/Dev/Interactive/,samples,.,notebooks,samples\notebooks\csharp\Samples\interactive-metrics.ipynb,interactive-metrics.ipynb,.ipynb,846
93,C:/Dev/Interactive/samples/./Introduction to F#.ipynb,C:/Dev/Interactive/,samples,.,notebooks,samples\notebooks\fsharp\Introduction to F#.ipynb,Introduction to F#.ipynb,.ipynb,816
809,C:/Dev/Interactive/src/./Utils.fs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.FSharp,src\Microsoft.DotNet.Interactive.FSharp\FsAutoComplete\Utils.fs,Utils.fs,.fs,816
805,C:/Dev/Interactive/src/./SignatureFormatter.fs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.FSharp,src\Microsoft.DotNet.Interactive.FSharp\FsAutoComplete\SignatureFormatter.fs,SignatureFormatter.fs,.fs,814
287,C:/Dev/Interactive/src/./KernelExtensions.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive,src\Microsoft.DotNet.Interactive\KernelExtensions.cs,KernelExtensions.cs,.cs,798
1010,C:/Dev/Interactive/src/./AzureShellConnection.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.PowerShell,src\Microsoft.DotNet.Interactive.PowerShell\AzureShellConnection.cs,AzureShellConnection.cs,.cs,777
1014,C:/Dev/Interactive/src/./PendingProgress.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.PowerShell,src\Microsoft.DotNet.Interactive.PowerShell\Host\Progress\PendingProgress.cs,PendingProgress.cs,.cs,740
727,C:/Dev/Interactive/src/./Formatter.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Formatting,src\Microsoft.DotNet.Interactive.Formatting\Formatter.cs,Formatter.cs,.cs,738
